c,h,l,o,s,t,v
156.81,160.45,156.36,159.565,ok,1637884800,76959752
160.24,161.19,158.7901,159.37,ok,1638144000,88748217
165.3,165.52,159.92,159.985,ok,1638230400,174048056
164.77,170.3,164.53,167.48,ok,1638316800,152423003
163.76,164.2,157.8,158.735,ok,1638403200,136739174
161.84,164.96,159.72,164.02,ok,1638489600,118023116
165.32,167.8799,164.28,164.29,ok,1638748800,107496982
171.18,171.58,168.34,169.08,ok,1638835200,120405352
175.08,175.96,170.7,172.125,ok,1638921600,116998901
174.56,176.75,173.92,174.91,ok,1639008000,108923739
179.45,179.63,174.69,175.205,ok,1639094400,115402731
175.74,182.13,175.53,181.115,ok,1639353600,153237019
174.33,177.74,172.21,175.25,ok,1639440000,139380382
179.3,179.5,172.3108,175.11,ok,1639526400,131063257
172.26,181.14,170.75,179.28,ok,1639612800,150185843
171.14,173.47,169.69,169.93,ok,1639699200,195923441
169.75,170.58,167.46,168.28,ok,1639958400,107499114
172.99,173.2,169.12,171.555,ok,1640044800,91185905
175.64,175.86,172.15,173.04,ok,1640131200,92135303
176.28,176.85,175.27,175.85,ok,1640217600,68227500
